"Def_Art","German","English","Beispiel","Morphology","Ref_Notes"
"Der","Abbau","dismantling","Der Abbau des Tisches war schwierig.","noun",""
"Die","Reduziering","reduction","Die Reduziering der gewicht ist ganz schwierig.","noun",""
"","abbaubar","biodegradable","","adjective",""
"","zudem","in addition","Zudem habe Bär auch die Lebensgefährtin ihres Vaters über Jahre hinweg beschäftigt.","adverb","spiegel.de: Dorothee Bär von der CSU"
"","gefallen","liked","Es f&auml;llt mir nicht ein","Dativ verb",""
"Die","Landvervaltung","land aministration","Ich arbeite in der Landvervaltung.","noun",""
"Der","Grundbesitz","land ownership","Ich recherchere Grundbesitz.","noun",""
"Die","Anforderung","requirements","&Auml;derten sich die Anforerungen der Zertifizierung.","noun",""
"","k&uuml;ndigen","to cancel","Bitte k&uuml;ndigen Sie mein Abonnement.","verb",""
"","vertretbar","reasonable","Ein schnelles Energieembargo gegen Russland wäre sinnvoll und ökonomisch vertretbar!","adjective","Shockwellen Claudia Kemfert"
"Die","Begrundung","justifyable","Der Bundeskanzler entschied sich dagegen, mit einer &uuml;berraschended Begr&uuml;ndung... Er vertreau;te lieber den Emfehlungen der Wirtschaft.","","Kemfert, Claudia"
"Der","Muster","pattern","Was heute so offensichtlich ist, war schon fr&uuml;h als Muster erkennbar.  Die Wissenschaft warnte, aber die Politik wollte nicht sehen.","noun","Kemfert &uuml;ber Putin"
"","besch&auml;digten ","damage","Lobbygruppen beeinflussten gezielt Politik und &ouml;ffentliche Meinung und besch&auml;digten damit die Grundfesten der Demokratie.","verb: past participle","Kemfert im Vorwort"
"Die","Grundfest oder Grundlage","foundation","Sie bedrohten die Grundfesten der Demokratie.","noun","Kemfert in Schockwellen"
"","verspotten","mock or ridicule","Er hatte sich durch meine Rede verspottet gef&uuml;hlt.","verb: past participle of verspotten",""
